Date,Product,Sales
2025-01-01,Product A,50
2025-01-01,Product B,60
2025-01-01,Product C,70
2025-01-02,Product A,45
2025-01-02,Product B,55
2025-01-02,Product C,65
2025-01-03,Product A,35
2025-01-03,Product B,25
2025-01-03,Product C,15
2025-01-04,Product A,60
2025-01-04,Product B,70
2025-01-04,Product C,80
2025-01-05,Product A,40
2025-01-05,Product B,45
2025-01-05,Product C,55
2025-01-06,Product A,55
2025-01-06,Product B,65
2025-01-06,Product C,75
2025-01-07,Product A,30
2025-01-07,Product B,35
2025-01-07,Product C,40
2025-01-08,Product A,65
2025-01-08,Product B,75
2025-01-08,Product C,85
2025-01-09,Product A,45
2025-01-09,Product B,50
2025-01-09,Product C,60
2025-01-10,Product A,70
2025-01-10,Product B,80
2025-01-10,Product C,90
